date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:17	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:18%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v1.woff?-9hbgac	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v157a1-2.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:18	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:18%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v1.ttf?-9hbgac	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v157a1-3.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:18	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:19%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v1.svg?-9hbgac	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v157a1-4.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:18	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:19%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/spinner.gif	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/spinner.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:18	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:19%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/vc/remove.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/vc/remove.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:19	351/351	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jan%202023%2016:17:01%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-includes/js/zxcvbn-async.min.js	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-includes/js/zxcvbn-async.min.js	(from https://www.portotheme.com/wordpress/porto/shop1/my-account/lost-password/)
14:08:19	4910/4910	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jan%202023%2016:17:01%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-includes/js/dist/hooks.min.js	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-includes/js/dist/hooks.min.js	(from https://www.portotheme.com/wordpress/porto/shop1/my-account/lost-password/)
14:08:19	10222/10222	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jan%202023%2016:17:01%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-includes/js/dist/i18n.min.js	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-includes/js/dist/i18n.min.js	(from https://www.portotheme.com/wordpress/porto/shop1/my-account/lost-password/)
14:08:20	1123/1123	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jan%202023%2016:16:58%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-admin/js/password-strength-meter.min.js	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-admin/js/password-strength-meter.min.js	(from https://www.portotheme.com/wordpress/porto/shop1/my-account/lost-password/)
14:08:20	2028/2028	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jan%202023%2016:20:44%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/plugins/woocommerce/assets/js/frontend/password-strength-meter.min.js	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/plugins/woocommerce/assets/js/frontend/password-strength-meter.min.js	(from https://www.portotheme.com/wordpress/porto/shop1/my-account/lost-password/)
